Action,7
"Action comedy",5
"Action thriller",1
Action-adventure,1
Action-thriller,3
Action/Comedy,1
"Action/Science fiction",1
Adventure,2
Adventure-romance,1
Adventure/Comedy,1
"Aftershow / Interview",6
"Animated musical comedy",1
Animation,5
"Animation / Comedy",1
"Animation / Musicial",1
"Animation / Science Fiction",1
"Animation / Short",4
Animation/Christmas/Comedy/Adventure,1
Animation/Comedy/Adventure,1
Animation/Musical/Adventure,1
Animation/Superhero,1
"Anime / Short",1
Anime/Fantasy,1
"Anime/Science fiction",2
"Anthology/Dark comedy",1
Biographical/Comedy,1
Biopic,9
"Black comedy",2
"Christian musical",1
"Christmas comedy",1
"Christmas musical",1
Christmas/Fantasy/Adventure/Comedy,1
Comedy,49
"Comedy / Musical",2
"Comedy horror",1
"Comedy mystery",1
Comedy-drama,14
Comedy/Fantasy/Family,1
Comedy/Horror,1
"Coming-of-age comedy-drama",1
"Concert Film",6
"Crime drama",11
"Crime thriller",1
"Dance comedy",1
"Dark comedy",2
Documentary,159
Drama,77
"Drama / Short",1
Drama-Comedy,1
Drama/Horror,1
Family,2
"Family film",2
"Family/Christmas musical",1
Family/Comedy-drama,1
Fantasy,1
Heist,1
"Heist film/Thriller",1
"Hidden-camera prank comedy",1
"Historical drama",1
Historical-epic,1
Horror,9
"Horror comedy",1
"Horror thriller",3
Horror-thriller,2
"Horror/Crime drama",1
Making-of,2
"Mentalism special",1
Mockumentary,2
Musical,2
"Musical / Short",1
"Musical comedy",2
Musical/Western/Fantasy,1
Mystery,2
"One-man show",3
"Political thriller",1
"Psychological horror",1
"Psychological thriller",4
"Psychological thriller drama",1
Romance,6
"Romance drama",1
"Romantic comedy",39
"Romantic comedy-drama",1
"Romantic comedy/Holiday",1
"Romantic drama",5
"Romantic teen drama",1
"Romantic teenage drama",1
"Romantic thriller",1
Satire,2
"Science fiction",4
"Science fiction adventure",1
"Science fiction thriller",1
"Science fiction/Action",1
"Science fiction/Drama",3
"Science fiction/Mystery",1
"Science fiction/Thriller",4
"Sports film",1
Sports-drama,3
"Spy thriller",2
"Stop Motion",1
Superhero,2
Superhero-Comedy,1
Superhero/Action,1
"Supernatural drama",1
"Teen comedy horror",1
"Teen comedy-drama",1
Thriller,33
"Urban fantasy",1
"Variety Show",1
"Variety show",4
War,2
"War drama",2
War-Comedy,1
Western,3
Zombie/Heist,1
