"David Attenborough: A Life on Our Planet",9
"Emicida: AmarElo - It's All For Yesterday",8.6
"Winter on Fire: Ukraine's Fight for Freedom",8.4
"Cuba and the Cameraman ",8.3
"Dancing with the Birds",8.3
13th,8.2
Seaspiracy,8.2
"Disclosure: Trans Lives on Screen",8.2
"The Three Deaths of Marisela Escobedo",8.2
"My Octopus Teacher",8.1
"Chasing Coral ",8.1
"Rising Phoenix",8.1
