"Heist film/Thriller" | 149.0
"Anthology/Dark comedy" | 149.0
Zombie/Heist | 148.0
"War drama" | 145.5
"Psychological thriller drama" | 142.0
"Historical drama" | 140.0
"Science fiction/Mystery" | 126.0
Superhero/Action | 124.0
"Psychological thriller" | 124.0
"Romantic thriller" | 123.0
War-Comedy | 122.0
"Spy thriller" | 122.0
Historical-epic | 121.0
Action-adventure | 121.0
Action-thriller | 119.666666666667
"Family/Christmas musical" | 119.0
"Crime drama" | 118.181818181818
"Musical comedy" | 117.5
"Urban fantasy" | 117.0
Western | 116.666666666667
Musical | 116.0
"Political thriller" | 115.0
"Christmas comedy" | 115.0
"Action/Science fiction" | 114.0
Family | 112.5
"Science fiction" | 110.75
War | 110.5
Horror-thriller | 109.5
"Romantic drama" | 108.2
"Sports film" | 108.0
"Science fiction/Action" | 108.0
Action | 108.0
Biopic | 107.555555555556
Drama | 107.311688311688
Family/Comedy-drama | 107.0
Superhero | 106.5
Comedy-drama | 105.142857142857
Thriller | 105.121212121212
Superhero-Comedy | 105.0
"Romantic comedy-drama" | 105.0
"Romantic comedy/Holiday" | 104.0
Drama/Horror | 104.0
Christmas/Fantasy/Adventure/Comedy | 104.0
Anime/Fantasy | 104.0
"Horror/Crime drama" | 102.0
Comedy/Horror | 102.0
"Action comedy" | 101.2
Romance | 101.166666666667
"Science fiction thriller" | 101.0
"Romantic teenage drama" | 101.0
Biographical/Comedy | 101.0
Action/Comedy | 101.0
"Romantic comedy" | 100.692307692308
Horror | 99.3333333333333
"Romantic teen drama" | 99.0
"Horror thriller" | 99.0
"Coming-of-age comedy-drama" | 99.0
"One-man show" | 98.6666666666667
"Concert Film" | 98.6666666666667
Mystery | 98.5
"Science fiction adventure" | 98.0
Comedy/Fantasy/Family | 98.0
"Christmas musical" | 98.0
"Teen comedy-drama" | 97.0
Satire | 97.0
Heist | 97.0
"Comedy mystery" | 97.0
"Christian musical" | 97.0
Animation/Christmas/Comedy/Adventure | 97.0
Adventure | 96.5
Sports-drama | 96.0
Fantasy | 96.0
Comedy | 95.6530612244898
Animation/Musical/Adventure | 95.0
"Psychological horror" | 94.0
"Comedy horror" | 94.0
"Dance comedy" | 93.0
"Science fiction/Thriller" | 92.5
"Supernatural drama" | 92.0
"Science fiction/Drama" | 92.0
"Dark comedy" | 92.0
"Animated musical comedy" | 92.0
"Black comedy" | 91.5
"Family film" | 90.5
"Anime/Science fiction" | 90.0
Animation/Comedy/Adventure | 90.0
Drama-Comedy | 89.0
Animation/Superhero | 89.0
"Horror comedy" | 86.0
"Hidden-camera prank comedy" | 86.0
"Crime thriller" | 86.0
"Teen comedy horror" | 85.0
Adventure-romance | 85.0
"Romance drama" | 83.0
Adventure/Comedy | 83.0
"Action thriller" | 82.0
Documentary | 78.9622641509434
Musical/Western/Fantasy | 73.0
"Animation / Science Fiction" | 71.0
Mockumentary | 63.5
"Variety show" | 60.5
Animation | 57.2
"Variety Show" | 54.0
"Mentalism special" | 49.0
"Animation / Comedy" | 45.0
"Comedy / Musical" | 43.0
Making-of | 42.5
"Stop Motion" | 42.0
"Animation / Musicial" | 41.0
"Aftershow / Interview" | 23.6666666666667
"Drama / Short" | 17.0
"Musical / Short" | 15.0
"Animation / Short" | 10.75
"Anime / Short" | 4.0
